blackbox_,learner_,rules_,predicates_with_median
ruby,5,islearn,-1.0
ruby,5,tree,3.333
ruby,6,bayesian,4.0
ruby,6,induction,4.0
ruby,6,islearn,-1.0
ruby,6,tree,2.0
spam,0,bayesian,2.0
spam,0,induction,1.0
spam,0,tree,2.0
spam,2,bayesian,2.0
spam,2,induction,1.0
spam,2,islearn,-1.0
spam,2,tree,2.0
spam,3,bayesian,2.0
spam,3,induction,3.0
spam,3,islearn,-1.0
spam,3,tree,2.0
spam,4,bayesian,2.0
spam,4,induction,3.0
spam,4,islearn,-1.0
spam,4,tree,2.0
spam,5,bayesian,1.0
spam,5,induction,4.0
spam,5,islearn,-1.0
spam,5,tree,2.0
spam,6,bayesian,2.0
spam,6,induction,3.0
spam,6,islearn,-1.0
spam,6,tree,2.0
water,0,bayesian,3.0
water,0,induction,2.0
water,0,islearn,-1.0
water,0,tree,2.0
water,2,bayesian,3.0
water,2,induction,4.0
water,2,islearn,-1.0
water,2,tree,2.0
water,3,bayesian,2.0
water,3,induction,3.0
water,3,islearn,-1.0
water,3,tree,2.0
water,4,bayesian,5.0
water,4,induction,3.0
water,4,islearn,-1.0
water,4,tree,2.0
water,5,bayesian,3.0
water,5,induction,3.667
water,5,islearn,-1.0
water,5,tree,2.0
water,6,bayesian,4.0
water,6,induction,4.0
water,6,islearn,-1.0
water,6,tree,2.0
