blackbox_,learner_,rules_,specificity_with_median
ruby,5,islearn,-1.0
ruby,5,tree,0.921
ruby,6,bayesian,0.814
ruby,6,induction,0.911
ruby,6,islearn,-1.0
ruby,6,tree,0.933
spam,0,bayesian,0.048
spam,0,induction,0.411
spam,0,tree,0.137
spam,2,bayesian,0.003
spam,2,induction,0.61
spam,2,islearn,-1.0
spam,2,tree,0.097
spam,3,bayesian,0.006
spam,3,induction,0.578
spam,3,islearn,-1.0
spam,3,tree,0.119
spam,4,bayesian,0.004
spam,4,induction,0.397
spam,4,islearn,-1.0
spam,4,tree,0.109
spam,5,bayesian,0.039
spam,5,induction,0.392
spam,5,islearn,-1.0
spam,5,tree,0.114
spam,6,bayesian,0.003
spam,6,induction,0.399
spam,6,islearn,-1.0
spam,6,tree,0.109
water,0,bayesian,0.217
water,0,induction,0.235
water,0,islearn,-1.0
water,0,tree,0.343
water,2,bayesian,0.373
water,2,induction,0.378
water,2,islearn,-1.0
water,2,tree,0.405
water,3,bayesian,0.408
water,3,induction,0.22
water,3,islearn,-1.0
water,3,tree,0.351
water,4,bayesian,0.305
water,4,induction,0.217
water,4,islearn,-1.0
water,4,tree,0.351
water,5,bayesian,0.354
water,5,induction,0.306
water,5,islearn,-1.0
water,5,tree,0.35
water,6,bayesian,0.299
water,6,induction,0.232
water,6,islearn,-1.0
water,6,tree,0.351
