blackbox_,learner_,rules_,coverage_,time_without_min,time_without_max,time_without_median,time_without_std,time_with_min,time_with_max,time_with_median,time_with_std,specificity_without_min,specificity_without_max,specificity_without_median,specificity_without_std,precision_without_min,precision_without_max,precision_without_median,precision_without_std,recall_without_min,recall_without_max,recall_without_median,recall_without_std,and_without_min,and_without_max,and_without_median,and_without_std,or_without_min,or_without_max,or_without_median,or_without_std,predicates_without_min,predicates_without_max,predicates_without_median,predicates_without_std,specificity_with_min,specificity_with_max,specificity_with_median,specificity_with_std,precision_with_min,precision_with_max,precision_with_median,precision_with_std,recall_with_min,recall_with_max,recall_with_median,recall_with_std,and_with_min,and_with_max,and_with_median,and_with_std,or_with_min,or_with_max,or_with_median,or_with_std,predicates_with_min,predicates_with_max,predicates_with_median,predicates_with_std,time_influential_min,time_influential_max,time_influential_median,time_influential_std,fscore_without_min,fscore_without_max,fscore_without_median,fscore_without_std,fscore_with_min,fscore_with_max,fscore_with_median,fscore_with_std
bank,0,induction,0.7,168.378,229.186,183.457,28.981,881.023,1005.301,970.409,51.992,0.94,0.945,0.943,0.002,0.387,0.43,0.406,0.016,0.376,0.423,0.404,0.018,0,0,0.0,0.0,0,0,0.0,0.0,1,1,1.0,0.0,0.852,0.87,0.869,0.008,0.331,0.355,0.345,0.009,0.685,0.774,0.727,0.034,0,0,0.0,0.0,2,3,3.0,0.447,3,4,4.0,0.447,-1.0,-1.0,-1.0,0.0,0.385,0.429,0.405,0.016,0.374,0.395,0.384,0.009
bank,0,induction,0.8,176.137,230.269,189.505,21.749,982.888,1219.977,1070.847,85.558,0.94,0.945,0.943,0.002,0.387,0.43,0.406,0.016,0.376,0.423,0.404,0.018,0,0,0.0,0.0,0,0,0.0,0.0,1,1,1.0,0.0,0.869,0.945,0.89,0.031,0.337,0.43,0.355,0.037,0.423,0.705,0.643,0.113,0,1,0.0,0.447,2,3,2.0,0.548,3,4,4.0,0.548,-1.0,-1.0,-1.0,0.0,0.385,0.429,0.405,0.016,0.375,0.429,0.39,0.021
bank,0,islearn,0.3,8463.741,8828.604,8566.314,145.325,-1.0,-1.0,-1.0,0.0,0.936,0.966,0.959,0.012,0.323,0.469,0.417,0.055,0.302,0.321,0.306,0.007,1,1,1.0,0.0,0,0,0.0,0.0,2,2,2.0,0.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,0.0,-1,-1,-1.0,0.0,-1,-1,-1.0,0.0,-1,-1,-1.0,0.0,-1.0,-1.0,-1.0,0.0,0.323,0.422,0.389,0.038,-1.0,-1.0,-1.0,0.0
bank,0,islearn,0.4,7855.192,8340.896,8169.743,179.171,-1.0,-1.0,-1.0,0.0,0.882,0.933,0.917,0.019,0.25,0.377,0.339,0.049,0.4,0.436,0.41,0.014,1,1,1.0,0.0,0,0,0.0,0.0,2,2,2.0,0.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,0.0,-1,-1,-1.0,0.0,-1,-1,-1.0,0.0,-1,-1,-1.0,0.0,-1.0,-1.0,-1.0,0.0,0.272,0.383,0.355,0.043,-1.0,-1.0,-1.0,0.0
bank,0,islearn,0.5,7686.16,8016.358,7857.51,132.867,-1.0,-1.0,-1.0,0.0,0.842,0.891,0.869,0.023,0.237,0.339,0.277,0.045,0.5,0.512,0.507,0.005,1,1,1.0,0.0,0,0,0.0,0.0,2,2,2.0,0.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,0.0,-1,-1,-1.0,0.0,-1,-1,-1.0,0.0,-1,-1,-1.0,0.0,-1.0,-1.0,-1.0,0.0,0.265,0.363,0.305,0.043,-1.0,-1.0,-1.0,0.0
bank,0,islearn,0.6,7335.712,7763.775,7508.03,195.116,-1.0,-1.0,-1.0,0.0,0.781,0.823,0.795,0.02,0.206,0.251,0.223,0.019,0.6,0.614,0.603,0.006,1,1,1.0,0.0,0,0,0.0,0.0,2,2,2.0,0.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,0.0,-1,-1,-1.0,0.0,-1,-1,-1.0,0.0,-1,-1,-1.0,0.0,-1.0,-1.0,-1.0,0.0,0.237,0.284,0.255,0.021,-1.0,-1.0,-1.0,0.0
bank,0,islearn,0.7,6709.138,7582.859,7032.735,325.061,-1.0,-1.0,-1.0,0.0,0.617,0.711,0.671,0.034,0.151,0.195,0.177,0.016,0.705,0.716,0.706,0.005,1,1,1.0,0.0,0,0,0.0,0.0,2,2,2.0,0.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,0.0,-1,-1,-1.0,0.0,-1,-1,-1.0,0.0,-1,-1,-1.0,0.0,-1.0,-1.0,-1.0,0.0,0.179,0.228,0.208,0.018,-1.0,-1.0,-1.0,0.0
bank,0,islearn,0.8,6405.525,6964.768,6565.08,237.884,-1.0,-1.0,-1.0,0.0,0.527,0.616,0.572,0.033,0.142,0.164,0.16,0.009,0.801,0.81,0.807,0.004,1,1,1.0,0.0,0,0,0.0,0.0,2,2,2.0,0.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,0.0,-1,-1,-1.0,0.0,-1,-1,-1.0,0.0,-1,-1,-1.0,0.0,-1.0,-1.0,-1.0,0.0,0.17,0.195,0.191,0.01,-1.0,-1.0,-1.0,0.0
bank,0,tree,0.3,0.114,0.164,0.156,0.02,0.114,0.186,0.156,0.029,0.959,0.981,0.965,0.01,0.442,0.495,0.468,0.023,0.191,0.352,0.331,0.081,1,1,1.0,0.0,0,0,0.0,0.0,2,2,2.0,0.0,0.916,0.965,0.959,0.02,0.392,0.479,0.444,0.031,0.331,0.535,0.352,0.085,1,2,1.0,0.548,0,2,0.0,0.894,2,5,2.0,1.414,-1.0,-1.0,-1.0,0.0,0.363,0.44,0.415,0.032,0.414,0.44,0.422,0.012
bank,0,tree,0.4,0.129,0.157,0.148,0.012,0.155,0.181,0.176,0.01,0.959,0.981,0.965,0.01,0.442,0.495,0.468,0.023,0.191,0.352,0.331,0.081,1,1,1.0,0.0,0,0,0.0,0.0,2,2,2.0,0.0,0.903,0.92,0.903,0.008,0.384,0.418,0.392,0.013,0.535,0.643,0.64,0.048,2,3,2.0,0.447,2,3,2.0,0.447,5,7,5.0,0.894,-1.0,-1.0,-1.0,0.0,0.363,0.44,0.415,0.032,0.414,0.443,0.424,0.011
bank,0,tree,0.5,0.142,0.15,0.147,0.004,0.163,0.204,0.168,0.017,0.959,0.981,0.965,0.01,0.442,0.495,0.468,0.023,0.191,0.352,0.331,0.081,1,1,1.0,0.0,0,0,0.0,0.0,2,2,2.0,0.0,0.903,0.92,0.903,0.008,0.384,0.418,0.392,0.013,0.535,0.643,0.64,0.048,2,3,2.0,0.447,2,3,2.0,0.447,5,7,5.0,0.894,-1.0,-1.0,-1.0,0.0,0.363,0.44,0.415,0.032,0.414,0.443,0.424,0.011
bank,0,tree,0.6,0.12,0.142,0.137,0.01,0.159,0.192,0.169,0.014,0.959,0.981,0.965,0.01,0.442,0.495,0.468,0.023,0.191,0.352,0.331,0.081,1,1,1.0,0.0,0,0,0.0,0.0,2,2,2.0,0.0,0.892,0.903,0.903,0.005,0.384,0.404,0.391,0.008,0.64,0.689,0.643,0.022,2,3,3.0,0.548,2,3,3.0,0.548,5,7,7.0,1.095,-1.0,-1.0,-1.0,0.0,0.363,0.44,0.415,0.032,0.418,0.44,0.424,0.008
