blackbox_,learner_,rules_,time_with_median
water,0,induction,83.391
water,0,islearn,-1.0
water,0,tree,0.048
water,2,bayesian,183.215
water,2,induction,11.693
water,2,islearn,-1.0
water,2,tree,0.519
water,3,bayesian,204.068
water,3,induction,20.034
water,3,islearn,-1.0
water,3,tree,0.51
water,4,bayesian,397.164
water,4,induction,30.537
water,4,islearn,-1.0
water,4,tree,0.477
water,5,bayesian,284.45
water,5,induction,41.941
water,5,islearn,-1.0
water,5,tree,0.521
water,6,bayesian,389.507
water,6,induction,66.29
water,6,islearn,-1.0
water,6,tree,0.456
