run,blackbox,model,learner,rules,coverage,seed,model_number,specificity_without,precision_without,recall_without,time_without,and_without,or_without,predicates_without,specificity_with,precision_with,recall_with,time_with,and_with,or_with,predicates_with,time_influential
1,bank,rfc,0,induction,0.5,23456789,2,0.941,0.399,0.414,158.567,0,0,1,0.89,0.355,0.643,700.02,0,1,2,-1.0
1,bank,rfc,0,induction,0.5,34567890,3,0.945,0.43,0.423,207.462,0,0,1,0.87,0.355,0.727,1030.676,0,2,3,-1.0
1,bank,rfc,0,induction,0.5,45678901,4,0.943,0.406,0.401,282.25,0,0,1,0.869,0.337,0.685,686.307,0,2,3,-1.0
1,bank,rfc,0,induction,0.5,56789012,5,0.944,0.412,0.404,253.588,0,0,1,0.869,0.345,0.705,775.444,0,2,3,-1.0
1,bank,rfc,0,induction,0.6,12345678,1,0.94,0.387,0.376,160.02,0,0,1,0.895,0.368,0.61,759.649,0,2,3,-1.0
1,bank,rfc,0,induction,0.6,23456789,2,0.941,0.399,0.414,245.678,0,0,1,0.89,0.355,0.643,725.704,0,1,2,-1.0
1,bank,rfc,0,induction,0.6,34567890,3,0.945,0.43,0.423,222.597,0,0,1,0.87,0.355,0.727,962.661,0,2,3,-1.0
1,bank,rfc,0,induction,0.6,45678901,4,0.943,0.406,0.401,233.474,0,0,1,0.869,0.337,0.685,791.027,0,3,4,-1.0
1,bank,rfc,0,induction,0.6,56789012,5,0.944,0.412,0.404,155.307,0,0,1,0.869,0.345,0.705,1006.451,0,3,4,-1.0
1,bank,rfc,0,induction,0.7,12345678,1,0.94,0.387,0.376,197.241,0,0,1,0.859,0.347,0.743,1147.001,0,3,4,-1.0
1,bank,rfc,0,induction,0.7,23456789,2,0.941,0.399,0.414,171.946,0,0,1,0.852,0.331,0.774,961.636,0,3,4,-1.0
1,bank,rfc,0,induction,0.7,34567890,3,0.945,0.43,0.423,215.01,0,0,1,0.87,0.355,0.727,973.729,0,2,3,-1.0
1,bank,rfc,0,induction,0.7,45678901,4,0.943,0.406,0.401,208.005,0,0,1,0.869,0.337,0.685,901.942,0,3,4,-1.0
1,bank,rfc,0,induction,0.7,56789012,5,0.944,0.412,0.404,179.735,0,0,1,0.869,0.345,0.705,933.668,0,3,4,-1.0
