blackbox,model,learner,rules,coverage,seed,model_number,time_without,time_with,specificity_without,precision_without,recall_without,and_without,or_without,predicates_without,specificity_with,precision_with,recall_with,and_with,or_with,predicates_with,time_influential,fscore_without,fscore_with
heartWT,rfc,3,islearn,0.6,56789012,5,5.263,-1.0,0.636,0.385,0.625,1,0,2,-1.0,-1.0,-1.0,-1,-1,-1,0.22,0.417,-1.0
heartWT,rfc,3,tree,0.6,12345678,1,0.235,0.239,1.0,1.0,0.267,1,0,2,0.467,0.439,0.833,2,1,4,0.206,0.646,0.485
heartWT,rfc,3,tree,0.6,23456789,2,0.232,0.232,0.831,0.577,0.6,1,0,2,0.831,0.577,0.6,1,0,2,0.247,0.581,0.581
heartWT,rfc,3,tree,0.6,34567890,3,0.234,0.239,0.871,0.55,0.55,1,0,2,0.871,0.591,0.65,2,1,4,0.217,0.55,0.602
heartWT,rfc,3,tree,0.6,45678901,4,0.236,0.249,1.0,1.0,0.13,0,0,1,0.731,0.455,0.652,1,2,4,0.282,0.428,0.484
heartWT,rfc,3,tree,0.6,56789012,5,0.235,0.259,1.0,1.0,0.208,1,0,2,0.833,0.593,0.667,3,3,7,0.212,0.568,0.606
heartWT,rfc,4,bayesian,0.6,12345678,1,224.487,467.694,0.85,0.591,0.433,1,0,2,0.75,0.545,0.6,2,1,4,0.205,0.551,0.555
heartWT,rfc,4,bayesian,0.6,23456789,2,227.076,456.706,0.923,0.667,0.4,1,0,2,0.738,0.5,0.68,2,1,4,0.205,0.588,0.528
heartWT,rfc,4,bayesian,0.6,34567890,3,220.275,651.684,0.843,0.421,0.4,1,0,2,0.8,0.481,0.65,3,2,6,0.204,0.417,0.507
heartWT,rfc,4,bayesian,0.6,45678901,4,247.157,467.61,0.776,0.464,0.565,1,0,2,0.746,0.5,0.739,2,1,4,0.204,0.481,0.535
heartWT,rfc,4,bayesian,0.6,56789012,5,231.482,944.423,0.864,0.5,0.375,1,0,2,0.848,0.63,0.708,4,3,8,0.204,0.469,0.644
heartWT,rfc,4,induction,0.6,12345678,1,7.105,45.993,1.0,1.0,0.2,1,0,2,0.867,0.704,0.633,2,3,6,0.214,0.556,0.689
heartWT,rfc,4,induction,0.6,23456789,2,7.191,19.909,0.985,0.857,0.24,2,0,3,0.554,0.408,0.8,0,2,3,0.211,0.566,0.452
heartWT,rfc,4,induction,0.6,34567890,3,8.727,17.248,0.957,0.75,0.45,2,0,3,0.757,0.433,0.65,2,1,4,0.355,0.662,0.464
heartWT,rfc,4,induction,0.6,45678901,4,5.989,28.997,0.955,0.571,0.174,0,0,1,0.657,0.465,0.87,0,2,3,0.336,0.392,0.513
heartWT,rfc,4,induction,0.6,56789012,5,4.125,19.859,1.0,1.0,0.208,1,0,2,0.667,0.45,0.75,1,2,4,0.229,0.568,0.489
heartWT,rfc,4,islearn,0.6,12345678,1,8.206,-1.0,0.667,0.5,0.667,1,0,2,-1.0,-1.0,-1.0,-1,-1,-1,0.279,0.526,-1.0
heartWT,rfc,4,islearn,0.6,23456789,2,7.867,-1.0,0.831,0.577,0.6,1,0,2,-1.0,-1.0,-1.0,-1,-1,-1,0.213,0.581,-1.0
heartWT,rfc,4,islearn,0.6,34567890,3,7.812,-1.0,0.771,0.429,0.6,1,0,2,-1.0,-1.0,-1.0,-1,-1,-1,0.21,0.455,-1.0
heartWT,rfc,4,islearn,0.6,45678901,4,7.236,-1.0,0.612,0.35,0.609,1,0,2,-1.0,-1.0,-1.0,-1,-1,-1,0.209,0.383,-1.0
heartWT,rfc,4,islearn,0.6,56789012,5,7.158,-1.0,0.636,0.385,0.625,1,0,2,-1.0,-1.0,-1.0,-1,-1,-1,0.258,0.417,-1.0
heartWT,rfc,4,tree,0.6,12345678,1,0.236,0.24,1.0,1.0,0.267,1,0,2,0.467,0.439,0.833,2,1,4,0.244,0.646,0.485
heartWT,rfc,4,tree,0.6,23456789,2,0.25,0.255,0.862,0.609,0.56,1,0,2,0.677,0.523,0.92,2,1,4,0.252,0.599,0.572
heartWT,rfc,4,tree,0.6,34567890,3,0.242,0.246,0.871,0.55,0.55,1,0,2,0.857,0.583,0.7,2,1,4,0.221,0.55,0.603
heartWT,rfc,4,tree,0.6,45678901,4,0.243,0.256,1.0,1.0,0.13,0,0,1,0.731,0.455,0.652,1,2,4,0.253,0.428,0.484
heartWT,rfc,4,tree,0.6,56789012,5,0.247,0.26,1.0,1.0,0.167,1,0,2,0.909,0.714,0.625,2,2,5,0.208,0.501,0.694
heartWT,rfc,5,bayesian,0.3,12345678,1,244.666,244.666,0.35,0.409,0.9,1,0,2,0.35,0.409,0.9,1,0,2,0.205,0.459,0.459
heartWT,rfc,5,bayesian,0.3,23456789,2,232.679,232.68,0.923,0.667,0.4,1,0,2,0.923,0.667,0.4,1,0,2,0.205,0.588,0.588
heartWT,rfc,5,bayesian,0.3,34567890,3,216.047,216.048,0.829,0.478,0.55,1,0,2,0.829,0.478,0.55,1,0,2,0.205,0.491,0.491
heartWT,rfc,5,bayesian,0.3,45678901,4,227.77,439.094,1.0,1.0,0.13,1,0,2,0.881,0.579,0.478,2,1,4,0.205,0.428,0.556
heartWT,rfc,5,bayesian,0.3,56789012,5,214.204,447.936,0.985,0.75,0.125,1,0,2,0.848,0.524,0.458,2,1,4,0.208,0.375,0.509
heartWT,rfc,5,bayesian,0.4,12345678,1,249.139,249.139,0.35,0.409,0.9,1,0,2,0.35,0.409,0.9,1,0,2,0.208,0.459,0.459
heartWT,rfc,5,bayesian,0.4,23456789,2,228.281,228.282,0.923,0.667,0.4,1,0,2,0.923,0.667,0.4,1,0,2,0.206,0.588,0.588
heartWT,rfc,5,bayesian,0.4,34567890,3,215.286,215.286,0.829,0.478,0.55,1,0,2,0.829,0.478,0.55,1,0,2,0.204,0.491,0.491
heartWT,rfc,5,bayesian,0.4,45678901,4,229.902,442.397,1.0,1.0,0.13,1,0,2,0.881,0.579,0.478,2,1,4,0.205,0.428,0.556
heartWT,rfc,5,bayesian,0.4,56789012,5,213.658,441.129,0.985,0.75,0.125,1,0,2,0.848,0.524,0.458,2,1,4,0.208,0.375,0.509
heartWT,rfc,5,bayesian,0.5,12345678,1,252.21,252.21,0.35,0.409,0.9,1,0,2,0.35,0.409,0.9,1,0,2,0.205,0.459,0.459
heartWT,rfc,5,bayesian,0.5,23456789,2,223.728,462.733,0.923,0.667,0.4,1,0,2,0.892,0.65,0.52,2,1,4,0.206,0.588,0.619
heartWT,rfc,5,bayesian,0.5,34567890,3,217.015,217.016,0.829,0.478,0.55,1,0,2,0.829,0.478,0.55,1,0,2,0.205,0.491,0.491
heartWT,rfc,5,bayesian,0.5,45678901,4,228.646,659.248,1.0,1.0,0.13,1,0,2,0.687,0.475,0.826,3,2,6,0.203,0.428,0.519
heartWT,rfc,5,bayesian,0.5,56789012,5,224.087,655.227,0.985,0.75,0.125,1,0,2,0.848,0.565,0.542,3,2,6,0.205,0.375,0.56
heartWT,rfc,5,bayesian,0.6,12345678,1,255.916,255.916,0.35,0.409,0.9,1,0,2,0.35,0.409,0.9,1,0,2,0.208,0.459,0.459
heartWT,rfc,5,bayesian,0.6,23456789,2,222.116,694.446,0.923,0.667,0.4,1,0,2,0.877,0.667,0.64,3,2,6,0.207,0.588,0.661
heartWT,rfc,5,bayesian,0.6,34567890,3,218.067,465.297,0.829,0.478,0.55,1,0,2,0.829,0.5,0.6,2,1,4,0.208,0.491,0.517
heartWT,rfc,5,bayesian,0.6,45678901,4,228.235,658.416,1.0,1.0,0.13,1,0,2,0.687,0.475,0.826,3,2,6,0.205,0.428,0.519
heartWT,rfc,5,bayesian,0.6,56789012,5,216.798,836.25,0.985,0.75,0.125,1,0,2,0.833,0.577,0.625,4,3,8,0.207,0.375,0.586
heartWT,rfc,5,bayesian,0.7,12345678,1,255.977,255.977,0.35,0.409,0.9,1,0,2,0.35,0.409,0.9,1,0,2,0.207,0.459,0.459
heartWT,rfc,5,bayesian,0.7,23456789,2,224.053,944.796,0.923,0.667,0.4,1,0,2,0.831,0.633,0.76,4,3,8,0.205,0.588,0.655
heartWT,rfc,5,bayesian,0.7,34567890,3,221.853,976.455,0.829,0.478,0.55,1,0,2,0.8,0.517,0.75,4,3,8,0.205,0.491,0.551
heartWT,rfc,5,bayesian,0.7,45678901,4,235.036,675.612,1.0,1.0,0.13,1,0,2,0.687,0.475,0.826,3,2,6,0.206,0.428,0.519
heartWT,rfc,5,bayesian,0.7,56789012,5,219.171,1244.229,0.985,0.75,0.125,1,0,2,0.833,0.621,0.75,6,5,12,0.208,0.375,0.643
heartWT,rfc,5,bayesian,0.8,12345678,1,247.781,247.781,0.35,0.409,0.9,1,0,2,0.35,0.409,0.9,1,0,2,0.206,0.459,0.459
heartWT,rfc,5,bayesian,0.8,23456789,2,220.689,1183.08,0.923,0.667,0.4,1,0,2,0.831,0.645,0.8,5,4,10,0.207,0.588,0.671
heartWT,rfc,5,bayesian,0.8,34567890,3,217.568,1187.084,0.829,0.478,0.55,1,0,2,0.786,0.516,0.8,5,4,10,0.205,0.491,0.555
heartWT,rfc,5,bayesian,0.8,45678901,4,229.547,660.082,1.0,1.0,0.13,1,0,2,0.687,0.475,0.826,3,2,6,0.207,0.428,0.519
heartWT,rfc,5,bayesian,0.8,56789012,5,215.222,1499.345,0.985,0.75,0.125,1,0,2,0.742,0.541,0.833,7,6,14,0.206,0.375,0.582
heartWT,rfc,5,induction,0.3,12345678,1,9.545,39.398,1.0,1.0,0.2,1,0,2,0.967,0.833,0.333,1,2,4,0.278,0.556,0.641
heartWT,rfc,5,induction,0.3,23456789,2,11.127,27.532,0.862,0.571,0.48,0,0,1,0.862,0.591,0.52,0,1,2,0.335,0.55,0.575
heartWT,rfc,5,induction,0.3,34567890,3,11.276,24.645,0.957,0.75,0.45,2,0,3,0.986,0.9,0.45,5,1,7,0.257,0.662,0.75
heartWT,rfc,5,induction,0.3,45678901,4,6.033,19.564,0.955,0.571,0.174,0,0,1,0.866,0.526,0.435,0,1,2,0.324,0.392,0.505
heartWT,rfc,5,induction,0.3,56789012,5,7.467,27.634,1.0,1.0,0.208,1,0,2,0.833,0.577,0.625,1,2,4,0.251,0.568,0.586
heartWT,rfc,5,induction,0.4,12345678,1,9.311,47.561,1.0,1.0,0.2,1,0,2,0.933,0.778,0.467,1,2,4,0.269,0.556,0.687
heartWT,rfc,5,induction,0.4,23456789,2,11.736,24.965,0.862,0.571,0.48,0,0,1,0.862,0.591,0.52,0,1,2,0.268,0.55,0.575
heartWT,rfc,5,induction,0.4,34567890,3,11.227,21.754,0.957,0.75,0.45,2,0,3,0.986,0.9,0.45,5,1,7,0.267,0.662,0.75
heartWT,rfc,5,induction,0.4,45678901,4,5.552,20.708,0.955,0.571,0.174,0,0,1,0.866,0.526,0.435,0,1,2,0.25,0.392,0.505
heartWT,rfc,5,induction,0.4,56789012,5,7.078,28.772,1.0,1.0,0.208,1,0,2,0.833,0.577,0.625,1,2,4,0.215,0.568,0.586
heartWT,rfc,5,induction,0.5,12345678,1,10.429,50.797,1.0,1.0,0.2,1,0,2,0.933,0.778,0.467,1,2,4,0.33,0.556,0.687
heartWT,rfc,5,induction,0.5,23456789,2,11.841,24.153,0.985,0.857,0.24,2,0,3,0.862,0.591,0.52,0,1,2,0.22,0.566,0.575
heartWT,rfc,5,induction,0.5,34567890,3,11.797,22.593,0.957,0.75,0.45,2,0,3,0.957,0.786,0.55,5,1,7,0.248,0.662,0.724
heartWT,rfc,5,induction,0.5,45678901,4,6.348,26.901,0.955,0.571,0.174,0,0,1,0.657,0.465,0.87,0,2,3,0.352,0.392,0.513
heartWT,rfc,5,induction,0.5,56789012,5,7.024,35.391,1.0,1.0,0.208,1,0,2,0.833,0.577,0.625,1,2,4,0.271,0.568,0.586
heartWT,rfc,5,induction,0.6,12345678,1,10.761,66.359,1.0,1.0,0.2,1,0,2,0.867,0.704,0.633,2,3,6,0.267,0.556,0.689
heartWT,rfc,5,induction,0.6,23456789,2,9.99,28.217,0.985,0.857,0.24,2,0,3,0.554,0.408,0.8,0,2,3,0.21,0.566,0.452
heartWT,rfc,5,induction,0.6,34567890,3,11.151,23.274,0.957,0.75,0.45,2,0,3,0.471,0.302,0.8,2,1,4,0.216,0.662,0.345
heartWT,rfc,5,induction,0.6,45678901,4,6.061,33.91,0.955,0.571,0.174,0,0,1,0.657,0.465,0.87,0,2,3,0.288,0.392,0.513
heartWT,rfc,5,induction,0.6,56789012,5,7.681,42.876,1.0,1.0,0.208,1,0,2,0.833,0.577,0.625,1,2,4,0.35,0.568,0.586
heartWT,rfc,5,induction,0.7,12345678,1,10.891,68.6,1.0,1.0,0.2,1,0,2,0.933,0.789,0.5,2,3,6,0.214,0.556,0.707
heartWT,rfc,5,induction,0.7,23456789,2,11.191,27.489,0.985,0.857,0.24,2,0,3,0.554,0.408,0.8,0,2,3,0.214,0.566,0.452
heartWT,rfc,5,induction,0.7,34567890,3,10.584,25.652,0.957,0.75,0.45,2,0,3,0.471,0.302,0.8,5,2,8,0.213,0.662,0.345
heartWT,rfc,5,induction,0.7,45678901,4,5.956,41.946,0.955,0.571,0.174,0,0,1,0.657,0.465,0.87,0,2,3,0.304,0.392,0.513
heartWT,rfc,5,induction,0.7,56789012,5,7.924,48.699,1.0,1.0,0.208,1,0,2,0.773,0.545,0.75,2,3,6,0.333,0.568,0.577
heartWT,rfc,5,induction,0.8,12345678,1,10.288,84.532,1.0,1.0,0.2,1,0,2,0.45,0.45,0.9,2,4,7,0.208,0.556,0.5
heartWT,rfc,5,induction,0.8,23456789,2,10.943,28.392,0.985,0.857,0.24,2,0,3,0.554,0.408,0.8,0,2,3,0.332,0.566,0.452
heartWT,rfc,5,induction,0.8,34567890,3,10.899,32.034,0.957,0.75,0.45,2,0,3,0.471,0.302,0.8,5,2,8,0.34,0.662,0.345
heartWT,rfc,5,induction,0.8,45678901,4,5.6,41.707,0.955,0.571,0.174,0,0,1,0.657,0.465,0.87,0,2,3,0.334,0.392,0.513
heartWT,rfc,5,induction,0.8,56789012,5,7.119,47.502,1.0,1.0,0.208,1,0,2,0.667,0.463,0.792,1,3,5,0.21,0.568,0.505
heartWT,rfc,5,islearn,0.3,12345678,1,14.287,-1.0,0.95,0.75,0.3,1,0,2,-1.0,-1.0,-1.0,-1,-1,-1,0.213,0.577,-1.0
heartWT,rfc,5,islearn,0.3,23456789,2,13.82,-1.0,0.954,0.75,0.36,1,0,2,-1.0,-1.0,-1.0,-1,-1,-1,0.335,0.616,-1.0
heartWT,rfc,5,islearn,0.3,34567890,3,13.713,-1.0,0.943,0.6,0.3,1,0,2,-1.0,-1.0,-1.0,-1,-1,-1,0.233,0.5,-1.0
heartWT,rfc,5,islearn,0.3,45678901,4,12.764,-1.0,0.91,0.538,0.304,1,0,2,-1.0,-1.0,-1.0,-1,-1,-1,0.285,0.466,-1.0
heartWT,rfc,5,islearn,0.3,56789012,5,13.776,-1.0,0.909,0.571,0.333,1,0,2,-1.0,-1.0,-1.0,-1,-1,-1,0.315,0.5,-1.0
heartWT,rfc,5,islearn,0.4,12345678,1,13.449,-1.0,0.883,0.632,0.4,1,0,2,-1.0,-1.0,-1.0,-1,-1,-1,0.336,0.566,-1.0
heartWT,rfc,5,islearn,0.4,23456789,2,12.49,-1.0,0.923,0.667,0.4,1,0,2,-1.0,-1.0,-1.0,-1,-1,-1,0.216,0.588,-1.0
heartWT,rfc,5,islearn,0.4,34567890,3,13.13,-1.0,0.914,0.571,0.4,1,0,2,-1.0,-1.0,-1.0,-1,-1,-1,0.356,0.526,-1.0
heartWT,rfc,5,islearn,0.4,45678901,4,12.732,-1.0,0.806,0.435,0.435,1,0,2,-1.0,-1.0,-1.0,-1,-1,-1,0.359,0.435,-1.0
heartWT,rfc,5,islearn,0.4,56789012,5,13.196,-1.0,0.848,0.5,0.417,1,0,2,-1.0,-1.0,-1.0,-1,-1,-1,0.258,0.481,-1.0
heartWT,rfc,5,islearn,0.5,12345678,1,12.977,-1.0,0.833,0.6,0.5,1,0,2,-1.0,-1.0,-1.0,-1,-1,-1,0.206,0.577,-1.0
heartWT,rfc,5,islearn,0.5,23456789,2,11.583,-1.0,0.877,0.619,0.52,1,0,2,-1.0,-1.0,-1.0,-1,-1,-1,0.208,0.596,-1.0
heartWT,rfc,5,islearn,0.5,34567890,3,11.554,-1.0,0.871,0.526,0.5,1,0,2,-1.0,-1.0,-1.0,-1,-1,-1,0.269,0.521,-1.0
heartWT,rfc,5,islearn,0.5,45678901,4,10.812,-1.0,0.776,0.444,0.522,1,0,2,-1.0,-1.0,-1.0,-1,-1,-1,0.249,0.458,-1.0
heartWT,rfc,5,islearn,0.5,56789012,5,12.602,-1.0,0.742,0.414,0.5,1,0,2,-1.0,-1.0,-1.0,-1,-1,-1,0.272,0.429,-1.0
heartWT,rfc,5,islearn,0.6,12345678,1,11.985,-1.0,0.717,0.514,0.6,1,0,2,-1.0,-1.0,-1.0,-1,-1,-1,0.207,0.529,-1.0
heartWT,rfc,5,islearn,0.6,23456789,2,11.637,-1.0,0.831,0.577,0.6,1,0,2,-1.0,-1.0,-1.0,-1,-1,-1,0.223,0.581,-1.0
heartWT,rfc,5,islearn,0.6,34567890,3,10.903,-1.0,0.786,0.444,0.6,1,0,2,-1.0,-1.0,-1.0,-1,-1,-1,0.252,0.468,-1.0
heartWT,rfc,5,islearn,0.6,45678901,4,10.537,-1.0,0.612,0.35,0.609,1,0,2,-1.0,-1.0,-1.0,-1,-1,-1,0.239,0.383,-1.0
heartWT,rfc,5,islearn,0.6,56789012,5,11.063,-1.0,0.636,0.385,0.625,1,0,2,-1.0,-1.0,-1.0,-1,-1,-1,0.252,0.417,-1.0
heartWT,rfc,5,islearn,0.7,12345678,1,10.96,-1.0,0.633,0.488,0.7,1,0,2,-1.0,-1.0,-1.0,-1,-1,-1,0.258,0.519,-1.0
heartWT,rfc,5,islearn,0.7,23456789,2,9.759,-1.0,0.554,0.383,0.72,1,0,2,-1.0,-1.0,-1.0,-1,-1,-1,0.332,0.423,-1.0
heartWT,rfc,5,islearn,0.7,34567890,3,10.156,-1.0,0.614,0.341,0.7,1,0,2,-1.0,-1.0,-1.0,-1,-1,-1,0.251,0.38,-1.0
heartWT,rfc,5,islearn,0.7,45678901,4,8.982,-1.0,0.448,0.315,0.739,1,0,2,-1.0,-1.0,-1.0,-1,-1,-1,0.336,0.356,-1.0
heartWT,rfc,5,islearn,0.7,56789012,5,10.273,-1.0,0.394,0.298,0.708,1,0,2,-1.0,-1.0,-1.0,-1,-1,-1,0.21,0.337,-1.0
heartWT,rfc,5,islearn,0.8,12345678,1,9.886,-1.0,0.517,0.463,0.833,1,0,2,-1.0,-1.0,-1.0,-1,-1,-1,0.244,0.508,-1.0
heartWT,rfc,5,islearn,0.8,23456789,2,9.116,-1.0,0.492,0.389,0.84,1,0,2,-1.0,-1.0,-1.0,-1,-1,-1,0.331,0.436,-1.0
heartWT,rfc,5,islearn,0.8,34567890,3,9.095,-1.0,0.371,0.267,0.8,1,0,2,-1.0,-1.0,-1.0,-1,-1,-1,0.224,0.308,-1.0
heartWT,rfc,5,islearn,0.8,45678901,4,8.615,-1.0,0.388,0.339,0.913,1,0,2,-1.0,-1.0,-1.0,-1,-1,-1,0.329,0.388,-1.0
heartWT,rfc,5,islearn,0.8,56789012,5,9.188,-1.0,0.303,0.303,0.833,1,0,2,-1.0,-1.0,-1.0,-1,-1,-1,0.208,0.347,-1.0
heartWT,rfc,5,tree,0.3,12345678,1,0.229,0.234,1.0,1.0,0.267,1,0,2,0.467,0.439,0.833,2,1,4,0.255,0.646,0.485
heartWT,rfc,5,tree,0.3,23456789,2,0.258,0.258,0.862,0.609,0.56,1,0,2,0.862,0.609,0.56,1,0,2,0.263,0.599,0.599
heartWT,rfc,5,tree,0.3,34567890,3,0.227,0.227,0.871,0.55,0.55,1,0,2,0.871,0.55,0.55,1,0,2,0.207,0.55,0.55
heartWT,rfc,5,tree,0.3,45678901,4,0.238,0.243,1.0,1.0,0.13,0,0,1,0.731,0.419,0.565,1,1,3,0.217,0.428,0.442
heartWT,rfc,5,tree,0.3,56789012,5,0.239,0.245,1.0,1.0,0.167,1,0,2,0.909,0.684,0.542,2,1,4,0.214,0.501,0.65
heartWT,rfc,5,tree,0.4,12345678,1,0.232,0.237,1.0,1.0,0.267,1,0,2,0.467,0.439,0.833,2,1,4,0.225,0.646,0.485
heartWT,rfc,5,tree,0.4,23456789,2,0.229,0.229,0.862,0.609,0.56,1,0,2,0.862,0.609,0.56,1,0,2,0.209,0.599,0.599
heartWT,rfc,5,tree,0.4,34567890,3,0.23,0.23,0.871,0.55,0.55,1,0,2,0.871,0.55,0.55,1,0,2,0.23,0.55,0.55
heartWT,rfc,5,tree,0.4,45678901,4,0.235,0.24,1.0,1.0,0.13,0,0,1,0.731,0.419,0.565,1,1,3,0.228,0.428,0.442
heartWT,rfc,5,tree,0.4,56789012,5,0.231,0.236,1.0,1.0,0.167,1,0,2,0.909,0.684,0.542,2,1,4,0.215,0.501,0.65
heartWT,rfc,5,tree,0.5,12345678,1,0.237,0.242,1.0,1.0,0.267,1,0,2,0.467,0.439,0.833,2,1,4,0.234,0.646,0.485
heartWT,rfc,5,tree,0.5,23456789,2,0.217,0.217,0.862,0.609,0.56,1,0,2,0.862,0.609,0.56,1,0,2,0.209,0.599,0.599
heartWT,rfc,5,tree,0.5,34567890,3,0.218,0.218,0.871,0.55,0.55,1,0,2,0.871,0.55,0.55,1,0,2,0.209,0.55,0.55
heartWT,rfc,5,tree,0.5,45678901,4,0.231,0.236,1.0,1.0,0.13,0,0,1,0.731,0.419,0.565,1,1,3,0.208,0.428,0.442
heartWT,rfc,5,tree,0.5,56789012,5,0.247,0.252,1.0,1.0,0.167,1,0,2,0.909,0.684,0.542,2,1,4,0.25,0.501,0.65
heartWT,rfc,5,tree,0.6,12345678,1,0.245,0.249,1.0,1.0,0.267,1,0,2,0.467,0.439,0.833,2,1,4,0.24,0.646,0.485
heartWT,rfc,5,tree,0.6,23456789,2,0.24,0.244,0.862,0.609,0.56,1,0,2,0.677,0.523,0.92,2,1,4,0.258,0.599,0.572
heartWT,rfc,5,tree,0.6,34567890,3,0.221,0.226,0.871,0.55,0.55,1,0,2,0.857,0.583,0.7,2,1,4,0.213,0.55,0.603
heartWT,rfc,5,tree,0.6,45678901,4,0.228,0.241,1.0,1.0,0.13,0,0,1,0.731,0.455,0.652,1,2,4,0.21,0.428,0.484
heartWT,rfc,5,tree,0.6,56789012,5,0.225,0.239,1.0,1.0,0.167,1,0,2,0.909,0.714,0.625,2,2,5,0.226,0.501,0.694
heartWT,rfc,5,tree,0.7,12345678,1,0.229,0.233,1.0,1.0,0.267,1,0,2,0.467,0.439,0.833,2,1,4,0.235,0.646,0.485
heartWT,rfc,5,tree,0.7,23456789,2,0.233,0.238,0.862,0.609,0.56,1,0,2,0.677,0.523,0.92,2,1,4,0.231,0.599,0.572
heartWT,rfc,5,tree,0.7,34567890,3,0.234,0.239,0.871,0.55,0.55,1,0,2,0.857,0.583,0.7,2,1,4,0.225,0.55,0.603
heartWT,rfc,5,tree,0.7,45678901,4,0.236,0.261,1.0,1.0,0.13,0,0,1,0.701,0.487,0.826,2,3,6,0.251,0.428,0.531
heartWT,rfc,5,tree,0.7,56789012,5,0.244,0.269,1.0,1.0,0.167,1,0,2,0.909,0.739,0.708,3,3,7,0.232,0.501,0.733
heartWT,rfc,5,tree,0.8,12345678,1,0.242,0.247,1.0,1.0,0.267,1,0,2,0.467,0.439,0.833,2,1,4,0.214,0.646,0.485
heartWT,rfc,5,tree,0.8,23456789,2,0.232,0.237,0.862,0.609,0.56,1,0,2,0.677,0.523,0.92,2,1,4,0.208,0.599,0.572
heartWT,rfc,5,tree,0.8,34567890,3,0.25,0.274,0.871,0.55,0.55,1,0,2,0.843,0.621,0.9,3,3,7,0.222,0.55,0.662
heartWT,rfc,5,tree,0.8,45678901,4,0.243,0.268,1.0,1.0,0.13,0,0,1,0.701,0.487,0.826,2,3,6,0.229,0.428,0.531
heartWT,rfc,5,tree,0.8,56789012,5,0.245,0.285,1.0,1.0,0.167,1,0,2,0.848,0.677,0.875,4,4,9,0.21,0.501,0.709
heartWT,rfc,6,bayesian,0.6,12345678,1,233.38,714.176,0.867,0.529,0.3,1,0,2,0.833,0.655,0.633,3,2,6,0.205,0.459,0.65
heartWT,rfc,6,bayesian,0.6,23456789,2,195.066,421.363,0.862,0.609,0.56,1,0,2,0.815,0.586,0.68,2,1,4,0.205,0.599,0.603
heartWT,rfc,6,bayesian,0.6,34567890,3,213.886,435.762,0.814,0.458,0.55,1,0,2,0.814,0.48,0.6,2,1,4,0.206,0.474,0.5
heartWT,rfc,6,bayesian,0.6,45678901,4,247.846,714.941,0.97,0.6,0.13,1,0,2,0.851,0.583,0.609,3,2,6,0.204,0.348,0.588
heartWT,rfc,6,bayesian,0.6,56789012,5,245.979,692.623,0.773,0.375,0.375,1,0,2,0.621,0.375,0.625,3,2,6,0.207,0.375,0.408
heartWT,rfc,6,induction,0.6,12345678,1,13.911,104.013,1.0,1.0,0.2,1,0,2,0.933,0.818,0.6,4,3,8,0.21,0.556,0.763
heartWT,rfc,6,induction,0.6,23456789,2,16.489,51.896,0.862,0.571,0.48,0,0,1,0.554,0.408,0.8,0,2,3,0.331,0.55,0.452
heartWT,rfc,6,induction,0.6,34567890,3,13.65,28.737,0.986,0.9,0.45,3,0,4,0.471,0.302,0.8,3,1,5,0.334,0.75,0.345
heartWT,rfc,6,induction,0.6,45678901,4,7.792,45.847,0.955,0.571,0.174,0,0,1,0.657,0.465,0.87,0,2,3,0.331,0.392,0.513
heartWT,rfc,6,induction,0.6,56789012,5,9.442,50.839,1.0,1.0,0.208,1,0,2,0.833,0.577,0.625,1,2,4,0.333,0.568,0.586
heartWT,rfc,6,islearn,0.6,12345678,1,14.251,-1.0,0.683,0.486,0.6,1,0,2,-1.0,-1.0,-1.0,-1,-1,-1,0.207,0.505,-1.0
heartWT,rfc,6,islearn,0.6,23456789,2,13.661,-1.0,0.831,0.577,0.6,1,0,2,-1.0,-1.0,-1.0,-1,-1,-1,0.236,0.581,-1.0
heartWT,rfc,6,islearn,0.6,34567890,3,13.294,-1.0,0.771,0.429,0.6,1,0,2,-1.0,-1.0,-1.0,-1,-1,-1,0.212,0.455,-1.0
heartWT,rfc,6,islearn,0.6,45678901,4,13.069,-1.0,0.612,0.35,0.609,1,0,2,-1.0,-1.0,-1.0,-1,-1,-1,0.223,0.383,-1.0
heartWT,rfc,6,islearn,0.6,56789012,5,14.125,-1.0,0.636,0.385,0.625,1,0,2,-1.0,-1.0,-1.0,-1,-1,-1,0.249,0.417,-1.0
heartWT,rfc,6,tree,0.6,12345678,1,0.228,0.252,1.0,1.0,0.267,1,0,2,0.967,0.905,0.633,3,3,7,0.212,0.646,0.833
heartWT,rfc,6,tree,0.6,23456789,2,0.234,0.238,0.862,0.609,0.56,1,0,2,0.677,0.523,0.92,2,1,4,0.215,0.599,0.572
heartWT,rfc,6,tree,0.6,34567890,3,0.239,0.243,0.871,0.55,0.55,1,0,2,0.871,0.591,0.65,2,1,4,0.209,0.55,0.602
heartWT,rfc,6,tree,0.6,45678901,4,0.239,0.253,1.0,1.0,0.13,0,0,1,0.731,0.455,0.652,1,2,4,0.218,0.428,0.484
heartWT,rfc,6,tree,0.6,56789012,5,0.234,0.249,1.0,1.0,0.167,1,0,2,0.909,0.714,0.625,2,2,5,0.23,0.501,0.694
hotel,rfc,0,bayesian,0.3,12345678,1,286.93,286.93,0.738,0.212,0.377,1,0,2,0.738,0.212,0.377,1,0,2,-1.0,0.232,0.232
