blackbox,model,learner,rules,coverage,seed,model_number,time_without,time_with,specificity_without,precision_without,recall_without,and_without,or_without,predicates_without,specificity_with,precision_with,recall_with,and_with,or_with,predicates_with,time_influential,fscore_without,fscore_with
bank,rfc,0,induction,0.4,45678901,4,251.985,763.653,0.943,0.406,0.401,0,0,1,0.943,0.406,0.401,0,1,2,-1.0,0.405,0.405
bank,rfc,0,induction,0.4,56789012,5,164.164,791.706,0.944,0.412,0.404,0,0,1,0.944,0.412,0.404,0,1,2,-1.0,0.41,0.41
bank,rfc,0,induction,0.5,12345678,1,169.888,722.059,0.94,0.387,0.376,0,0,1,0.895,0.368,0.61,0,1,2,-1.0,0.385,0.4
bank,rfc,0,induction,0.5,23456789,2,173.982,728.941,0.941,0.399,0.414,0,0,1,0.89,0.355,0.643,0,1,2,-1.0,0.402,0.39
bank,rfc,0,induction,0.5,34567890,3,212.5,996.948,0.945,0.43,0.423,0,0,1,0.87,0.355,0.727,0,2,3,-1.0,0.429,0.395
bank,rfc,0,induction,0.5,45678901,4,241.118,717.502,0.943,0.406,0.401,0,0,1,0.869,0.337,0.685,0,2,3,-1.0,0.405,0.375
bank,rfc,0,induction,0.5,56789012,5,189.281,803.657,0.944,0.412,0.404,0,0,1,0.869,0.345,0.705,0,2,3,-1.0,0.41,0.384
bank,rfc,0,induction,0.6,12345678,1,195.027,747.228,0.94,0.387,0.376,0,0,1,0.895,0.368,0.61,0,2,3,-1.0,0.385,0.4
bank,rfc,0,induction,0.6,23456789,2,190.64,714.143,0.941,0.399,0.414,0,0,1,0.89,0.355,0.643,0,1,2,-1.0,0.402,0.39
bank,rfc,0,induction,0.6,34567890,3,220.414,950.915,0.945,0.43,0.423,0,0,1,0.87,0.355,0.727,0,2,3,-1.0,0.429,0.395
bank,rfc,0,induction,0.6,45678901,4,243.439,781.751,0.943,0.406,0.401,0,0,1,0.869,0.337,0.685,0,3,4,-1.0,0.405,0.375
bank,rfc,0,induction,0.6,56789012,5,155.755,924.677,0.944,0.412,0.404,0,0,1,0.869,0.345,0.705,0,3,4,-1.0,0.41,0.384
bank,rfc,0,induction,0.7,12345678,1,183.457,995.984,0.94,0.387,0.376,0,0,1,0.859,0.347,0.743,0,3,4,-1.0,0.385,0.388
bank,rfc,0,induction,0.7,23456789,2,172.496,970.409,0.941,0.399,0.414,0,0,1,0.852,0.331,0.774,0,3,4,-1.0,0.402,0.374
bank,rfc,0,induction,0.7,34567890,3,224.05,1005.301,0.945,0.43,0.423,0,0,1,0.87,0.355,0.727,0,2,3,-1.0,0.429,0.395
bank,rfc,0,induction,0.7,45678901,4,229.186,881.023,0.943,0.406,0.401,0,0,1,0.869,0.337,0.685,0,3,4,-1.0,0.405,0.375
bank,rfc,0,induction,0.7,56789012,5,168.378,925.096,0.944,0.412,0.404,0,0,1,0.869,0.345,0.705,0,3,4,-1.0,0.41,0.384
bank,rfc,0,induction,0.8,12345678,1,189.505,982.888,0.94,0.387,0.376,0,0,1,0.895,0.368,0.61,0,2,3,-1.0,0.385,0.4
